レポート開始日,レポート終了日,キャンペーン名,広告セット名,広告名,日,結果,結果インジケーター,リーチ,フリークエンシー,インプレッション,消化金額 (JPY),結果の単価,リンクのクリック,CTR(リンククリックスルー率),クリック(すべて),"CPM(1,000インプレッション単価) (JPY)",CPC(リンククリックの単価) (JPY),ランディングページビュー,購入,購入のコンバージョン値,購入ROAS(広告費用対効果),動画の3秒再生数,ThruPlay,アトリビューション設定
2026-08-05,2026-08-05,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-05,,actions:offsite_conversion.fb_pixel_purchase,3219,1.09,3505,4890,,42,1.20,70,1395.15,116.43,35,,,,,,7日間のクリックまたは1日間のビュー
2026-08-06,2026-08-06,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-06,1,actions:offsite_conversion.fb_pixel_purchase,2849,1.23,3500,4975,4975.00,43,1.23,74,1421.43,115.70,35,1,5899,1.19,,,7日間のクリックまたは1日間のビュー
2026-08-07,2026-08-07,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-07,1,actions:offsite_conversion.fb_pixel_purchase,2758,1.22,3368,5202,5202.00,37,1.10,63,1544.54,140.59,30,1,6182,1.19,,,7日間のクリックまたは1日間のビュー
2026-08-08,2026-08-08,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-08,,actions:offsite_conversion.fb_pixel_purchase,3396,1.24,4221,5689,,51,1.21,98,1347.78,111.55,43,,,,,,7日間のクリックまたは1日間のビュー
2026-08-09,2026-08-09,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-09,1,actions:offsite_conversion.fb_pixel_purchase,3358,1.09,3672,5603,5603.00,43,1.17,82,1525.87,130.30,33,1,6974,1.24,,,7日間のクリックまたは1日間のビュー
2026-08-10,2026-08-10,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-10,,actions:offsite_conversion.fb_pixel_purchase,3140,1.09,3410,4776,,36,1.06,62,1400.59,132.67,31,,,,,,7日間のクリックまたは1日間のビュー
2026-08-11,2026-08-11,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-11,1,actions:offsite_conversion.fb_pixel_purchase,2861,1.16,3326,4664,4664.00,46,1.38,81,1402.29,101.39,34,1,5802,1.24,,,7日間のクリックまたは1日間のビュー
2026-08-12,2026-08-12,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-12,1,actions:offsite_conversion.fb_pixel_purchase,3426,1.14,3899,5730,5730.00,40,1.03,79,1469.61,143.25,33,1,6673,1.16,,,7日間のクリックまたは1日間のビュー
2026-08-13,2026-08-13,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-13,1,actions:offsite_conversion.fb_pixel_purchase,2478,1.14,2817,4319,4319.00,34,1.21,67,1533.19,127.03,25,1,6618,1.53,,,7日間のクリックまたは1日間のビュー
2026-08-14,2026-08-14,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-14,1,actions:offsite_conversion.fb_pixel_purchase,3504,1.05,3682,5224,5224.00,52,1.41,99,1418.79,100.46,41,1,7941,1.52,,,7日間のクリックまたは1日間のビュー
2026-08-15,2026-08-15,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-15,,actions:offsite_conversion.fb_pixel_purchase,2880,1.13,3263,5108,,47,1.44,91,1565.43,108.68,35,,,,,,7日間のクリックまたは1日間のビュー
2026-08-16,2026-08-16,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-16,,actions:offsite_conversion.fb_pixel_purchase,2682,1.08,2892,4386,,40,1.38,71,1516.60,109.65,32,,,,,,7日間のクリックまたは1日間のビュー
2026-08-17,2026-08-17,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-17,1,actions:offsite_conversion.fb_pixel_purchase,2721,1.15,3118,4801,4801.00,40,1.28,74,1539.77,120.03,33,1,7465,1.55,,,7日間のクリックまたは1日間のビュー
2026-08-18,2026-08-18,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-18,,actions:offsite_conversion.fb_pixel_purchase,2589,1.14,2948,4303,,32,1.09,61,1459.63,134.47,26,,,,,,7日間のクリックまたは1日間のビュー
2026-08-19,2026-08-19,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-19,,actions:offsite_conversion.fb_pixel_purchase,2457,1.22,3002,4430,,43,1.43,80,1475.68,103.02,33,,,,,,7日間のクリックまたは1日間のビュー
2026-08-20,2026-08-20,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-20,1,actions:offsite_conversion.fb_pixel_purchase,2633,1.14,3000,4690,4690.00,40,1.33,69,1563.33,117.25,29,1,7387,1.58,,,7日間のクリックまたは1日間のビュー
2026-08-21,2026-08-21,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-21,1,actions:offsite_conversion.fb_pixel_purchase,3483,1.17,4089,5986,5986.00,59,1.44,114,1463.93,101.46,50,1,6359,1.06,,,7日間のクリックまたは1日間のビュー
2026-08-22,2026-08-22,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-22,,actions:offsite_conversion.fb_pixel_purchase,3286,1.13,3701,5602,,39,1.05,65,1513.64,143.64,30,,,,,,7日間のクリックまたは1日間のビュー
2026-08-23,2026-08-23,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-23,,actions:offsite_conversion.fb_pixel_purchase,2625,1.21,3182,4954,,31,0.97,53,1556.88,159.81,27,,,,,,7日間のクリックまたは1日間のビュー
2026-08-24,2026-08-24,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-24,1,actions:offsite_conversion.fb_pixel_purchase,2406,1.12,2700,4077,4077.00,35,1.30,64,1510.00,116.49,27,1,8035,1.97,,,7日間のクリックまたは1日間のビュー
2026-08-25,2026-08-25,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-25,1,actions:offsite_conversion.fb_pixel_purchase,2672,1.15,3065,4734,4734.00,39,1.27,71,1544.54,121.38,29,1,7007,1.48,,,7日間のクリックまたは1日間のビュー
2026-08-26,2026-08-26,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-26,1,actions:offsite_conversion.fb_pixel_purchase,4122,1.06,4381,5724,5724.00,62,1.42,110,1306.55,92.32,54,1,7343,1.28,,,7日間のクリックまたは1日間のビュー
2026-08-27,2026-08-27,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-27,,actions:offsite_conversion.fb_pixel_purchase,2306,1.19,2744,4228,,39,1.42,68,1540.82,108.41,34,,,,,,7日間のクリックまたは1日間のビュー
2026-08-28,2026-08-28,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-28,,actions:offsite_conversion.fb_pixel_purchase,3031,1.22,3694,4975,,40,1.08,70,1346.78,124.38,34,,,,,,7日間のクリックまたは1日間のビュー
2026-08-29,2026-08-29,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-29,1,actions:offsite_conversion.fb_pixel_purchase,3144,1.24,3900,5424,5424.00,47,1.21,79,1390.77,115.40,34,1,7885,1.45,,,7日間のクリックまたは1日間のビュー
2026-08-30,2026-08-30,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-30,1,actions:offsite_conversion.fb_pixel_purchase,3390,1.16,3932,6004,6004.00,52,1.32,99,1526.96,115.46,44,1,6620,1.10,,,7日間のクリックまたは1日間のビュー
2026-08-31,2026-08-31,新規獲得_コンバージョン,興味関心_キッチン雑貨,新規_カルーセル_人気5選,2026-08-31,,actions:offsite_conversion.fb_pixel_purchase,2785,1.12,3123,4800,,45,1.44,86,1536.98,106.67,38,,,,,,7日間のクリックまたは1日間のビュー
2026-08-01,2026-08-01,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-01,1,actions:offsite_conversion.fb_pixel_purchase,2834,1.20,3393,4764,4764.00,39,1.15,69,1404.07,122.15,33,1,6305,1.32,748,301,7日間のクリックまたは1日間のビュー
2026-08-02,2026-08-02,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-02,1,actions:offsite_conversion.fb_pixel_purchase,2634,1.12,2955,4546,4546.00,39,1.32,69,1538.41,116.56,29,1,7130,1.57,874,247,7日間のクリックまたは1日間のビュー
2026-08-03,2026-08-03,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-03,1,actions:offsite_conversion.fb_pixel_purchase,2015,1.15,2319,3546,3546.00,23,0.99,40,1529.11,154.17,19,1,7416,2.09,572,166,7日間のクリックまたは1日間のビュー
2026-08-04,2026-08-04,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-04,1,actions:offsite_conversion.fb_pixel_purchase,3301,1.09,3597,4753,4753.00,41,1.14,76,1321.38,115.93,30,1,6875,1.45,1062,222,7日間のクリックまたは1日間のビュー
2026-08-05,2026-08-05,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-05,1,actions:offsite_conversion.fb_pixel_purchase,2841,1.20,3396,4796,4796.00,44,1.30,80,1412.25,109.00,38,1,7956,1.66,778,294,7日間のクリックまたは1日間のビュー
2026-08-06,2026-08-06,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-06,1,actions:offsite_conversion.fb_pixel_purchase,1982,1.16,2299,3616,3616.00,24,1.04,48,1572.86,150.67,18,1,7135,1.97,463,171,7日間のクリックまたは1日間のビュー
2026-08-07,2026-08-07,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-07,1,actions:offsite_conversion.fb_pixel_purchase,2747,1.10,3010,4224,4224.00,38,1.26,63,1403.32,111.16,32,1,6073,1.44,615,297,7日間のクリックまたは1日間のビュー
2026-08-08,2026-08-08,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-08,1,actions:offsite_conversion.fb_pixel_purchase,3310,1.15,3790,5374,5374.00,49,1.29,90,1417.94,109.67,37,1,7233,1.35,1029,254,7日間のクリックまたは1日間のビュー
2026-08-09,2026-08-09,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-09,,actions:offsite_conversion.fb_pixel_purchase,2363,1.23,2906,4047,,29,1.00,53,1392.64,139.55,21,,,,587,221,7日間のクリックまたは1日間のビュー
2026-08-10,2026-08-10,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-10,,actions:offsite_conversion.fb_pixel_purchase,2873,1.08,3096,4506,,29,0.94,54,1455.43,155.38,22,,,,880,194,7日間のクリックまたは1日間のビュー
2026-08-11,2026-08-11,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-11,1,actions:offsite_conversion.fb_pixel_purchase,2600,1.17,3031,4593,4593.00,37,1.22,61,1515.34,124.14,29,1,7272,1.58,655,200,7日間のクリックまたは1日間のビュー
2026-08-12,2026-08-12,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-12,,actions:offsite_conversion.fb_pixel_purchase,2226,1.19,2642,3965,,32,1.21,64,1500.76,123.91,25,,,,733,256,7日間のクリックまたは1日間のビュー
2026-08-13,2026-08-13,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-13,1,actions:offsite_conversion.fb_pixel_purchase,2055,1.24,2556,3768,3768.00,35,1.37,57,1474.18,107.66,26,1,6880,1.83,659,194,7日間のクリックまたは1日間のビュー
2026-08-14,2026-08-14,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-14,1,actions:offsite_conversion.fb_pixel_purchase,2515,1.24,3128,4474,4474.00,43,1.37,74,1430.31,104.05,33,1,6695,1.50,916,228,7日間のクリックまたは1日間のビュー
2026-08-15,2026-08-15,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-15,,actions:offsite_conversion.fb_pixel_purchase,2114,1.21,2556,3878,,29,1.13,52,1517.21,133.72,23,,,,534,217,7日間のクリックまたは1日間のビュー
2026-08-16,2026-08-16,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-16,1,actions:offsite_conversion.fb_pixel_purchase,2276,1.08,2453,3667,3667.00,28,1.14,45,1494.90,130.96,25,1,7678,2.09,652,219,7日間のクリックまたは1日間のビュー
2026-08-17,2026-08-17,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-17,,actions:offsite_conversion.fb_pixel_purchase,2143,1.19,2545,3513,,24,0.94,41,1380.35,146.38,20,,,,763,213,7日間のクリックまたは1日間のビュー
2026-08-18,2026-08-18,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-18,,actions:offsite_conversion.fb_pixel_purchase,2403,1.24,2980,3928,,31,1.04,56,1318.12,126.71,26,,,,788,214,7日間のクリックまたは1日間のビュー
2026-08-19,2026-08-19,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-19,1,actions:offsite_conversion.fb_pixel_purchase,2862,1.20,3424,4840,4840.00,47,1.37,76,1413.55,102.98,37,1,6206,1.28,857,323,7日間のクリックまたは1日間のビュー
2026-08-20,2026-08-20,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-20,1,actions:offsite_conversion.fb_pixel_purchase,3078,1.16,3561,4845,4845.00,39,1.10,68,1360.57,124.23,34,1,6217,1.28,984,303,7日間のクリックまたは1日間のビュー
2026-08-21,2026-08-21,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-21,1,actions:offsite_conversion.fb_pixel_purchase,2595,1.16,3023,4514,4514.00,36,1.19,62,1493.22,125.39,28,1,6442,1.43,851,186,7日間のクリックまたは1日間のビュー
2026-08-22,2026-08-22,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-22,1,actions:offsite_conversion.fb_pixel_purchase,3084,1.13,3478,4893,4893.00,44,1.27,84,1406.84,111.20,33,1,7540,1.54,926,304,7日間のクリックまたは1日間のビュー
2026-08-23,2026-08-23,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-23,1,actions:offsite_conversion.fb_pixel_purchase,3019,1.15,3462,4797,4797.00,40,1.16,64,1385.62,119.92,31,1,6168,1.29,717,268,7日間のクリックまたは1日間のビュー
2026-08-24,2026-08-24,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-24,1,actions:offsite_conversion.fb_pixel_purchase,3052,1.07,3253,4463,4463.00,36,1.11,63,1371.96,123.97,29,1,7372,1.65,663,291,7日間のクリックまたは1日間のビュー
2026-08-25,2026-08-25,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-25,1,actions:offsite_conversion.fb_pixel_purchase,2434,1.10,2672,4024,4024.00,34,1.27,55,1505.99,118.35,27,1,7441,1.85,556,192,7日間のクリックまたは1日間のビュー
2026-08-26,2026-08-26,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-26,1,actions:offsite_conversion.fb_pixel_purchase,2639,1.20,3174,4623,4623.00,36,1.13,61,1456.52,128.42,31,1,6809,1.47,767,222,7日間のクリックまたは1日間のビュー
2026-08-27,2026-08-27,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-27,,actions:offsite_conversion.fb_pixel_purchase,2338,1.10,2562,3516,,28,1.09,48,1372.37,125.57,21,,,,637,204,7日間のクリックまたは1日間のビュー
2026-08-28,2026-08-28,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-28,,actions:offsite_conversion.fb_pixel_purchase,2573,1.13,2920,4074,,35,1.20,64,1395.21,116.40,26,,,,620,282,7日間のクリックまたは1日間のビュー
2026-08-29,2026-08-29,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-29,1,actions:offsite_conversion.fb_pixel_purchase,3451,1.05,3629,4831,4831.00,39,1.07,69,1331.22,123.87,29,1,6097,1.26,1028,362,7日間のクリックまたは1日間のビュー
2026-08-30,2026-08-30,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-30,1,actions:offsite_conversion.fb_pixel_purchase,2281,1.23,2797,4203,4203.00,29,1.04,57,1502.68,144.93,22,1,7423,1.77,693,264,7日間のクリックまたは1日間のビュー
2026-08-31,2026-08-31,新規獲得_コンバージョン,ブロード_女性25-54,新規_動画_使い方15秒,2026-08-31,,actions:offsite_conversion.fb_pixel_purchase,2543,1.14,2903,3958,,35,1.21,67,1363.42,113.09,30,,,,814,216,7日間のクリックまたは1日間のビュー
2026-08-01,2026-08-01,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-01,,actions:offsite_conversion.fb_pixel_purchase,2727,1.15,3149,4487,,27,0.86,46,1424.90,166.19,24,,,,,,7日間のクリックまたは1日間のビュー
2026-08-02,2026-08-02,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-02,,actions:offsite_conversion.fb_pixel_purchase,2663,1.17,3117,4672,,34,1.09,60,1498.88,137.41,30,,,,,,7日間のクリックまたは1日間のビュー
2026-08-03,2026-08-03,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-03,1,actions:offsite_conversion.fb_pixel_purchase,2474,1.12,2765,4367,4367.00,22,0.80,37,1579.39,198.50,18,1,7930,1.82,,,7日間のクリックまたは1日間のビュー
2026-08-04,2026-08-04,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-04,,actions:offsite_conversion.fb_pixel_purchase,2248,1.09,2452,3449,,26,1.06,43,1406.61,132.65,19,,,,,,7日間のクリックまたは1日間のビュー
2026-08-05,2026-08-05,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-05,,actions:offsite_conversion.fb_pixel_purchase,2272,1.23,2804,3850,,23,0.82,40,1373.04,167.39,19,,,,,,7日間のクリックまたは1日間のビュー
2026-08-06,2026-08-06,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-06,1,actions:offsite_conversion.fb_pixel_purchase,2604,1.13,2937,4651,4651.00,28,0.95,46,1583.59,166.11,21,1,7539,1.62,,,7日間のクリックまたは1日間のビュー
2026-08-07,2026-08-07,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-07,1,actions:offsite_conversion.fb_pixel_purchase,2240,1.15,2585,3933,3933.00,25,0.97,41,1521.47,157.32,20,1,7985,2.03,,,7日間のクリックまたは1日間のビュー
2026-08-08,2026-08-08,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-08,,actions:offsite_conversion.fb_pixel_purchase,2941,1.21,3563,4824,,37,1.04,67,1353.92,130.38,27,,,,,,7日間のクリックまたは1日間のビュー
2026-08-09,2026-08-09,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-09,,actions:offsite_conversion.fb_pixel_purchase,2700,1.11,3006,4121,,33,1.10,60,1370.92,124.88,27,,,,,,7日間のクリックまたは1日間のビュー
2026-08-10,2026-08-10,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-10,1,actions:offsite_conversion.fb_pixel_purchase,2639,1.07,2835,3919,3919.00,25,0.88,40,1382.36,156.76,20,1,7652,1.95,,,7日間のクリックまたは1日間のビュー
2026-08-11,2026-08-11,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-11,,actions:offsite_conversion.fb_pixel_purchase,2852,1.08,3080,4403,,29,0.94,54,1429.55,151.83,21,,,,,,7日間のクリックまたは1日間のビュー
2026-08-12,2026-08-12,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-12,,actions:offsite_conversion.fb_pixel_purchase,1972,1.18,2334,3447,,27,1.16,47,1476.86,127.67,20,,,,,,7日間のクリックまたは1日間のビュー
2026-08-13,2026-08-13,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-13,1,actions:offsite_conversion.fb_pixel_purchase,2821,1.09,3072,4487,4487.00,35,1.14,69,1460.61,128.20,29,1,6483,1.44,,,7日間のクリックまたは1日間のビュー
2026-08-14,2026-08-14,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-14,1,actions:offsite_conversion.fb_pixel_purchase,2252,1.24,2798,3721,3721.00,27,0.96,47,1329.88,137.81,20,1,7188,1.93,,,7日間のクリックまたは1日間のビュー
2026-08-15,2026-08-15,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-15,1,actions:offsite_conversion.fb_pixel_purchase,2587,1.07,2770,3634,3634.00,23,0.83,45,1311.91,158.00,19,1,7125,1.96,,,7日間のクリックまたは1日間のビュー
2026-08-16,2026-08-16,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-16,,actions:offsite_conversion.fb_pixel_purchase,2598,1.20,3120,4764,,29,0.93,52,1526.92,164.28,22,,,,,,7日間のクリックまたは1日間のビュー
2026-08-17,2026-08-17,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-17,1,actions:offsite_conversion.fb_pixel_purchase,2055,1.06,2183,3401,3401.00,23,1.05,38,1557.95,147.87,19,1,7809,2.30,,,7日間のクリックまたは1日間のビュー
2026-08-18,2026-08-18,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-18,,actions:offsite_conversion.fb_pixel_purchase,2150,1.19,2548,3689,,22,0.86,37,1447.80,167.68,17,,,,,,7日間のクリックまたは1日間のビュー
2026-08-19,2026-08-19,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-19,,actions:offsite_conversion.fb_pixel_purchase,2123,1.18,2511,3803,,21,0.84,38,1514.54,181.10,18,,,,,,7日間のクリックまたは1日間のビュー
2026-08-20,2026-08-20,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-20,1,actions:offsite_conversion.fb_pixel_purchase,2737,1.13,3087,4462,4462.00,24,0.78,40,1445.42,185.92,18,1,7890,1.77,,,7日間のクリックまたは1日間のビュー
2026-08-21,2026-08-21,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-21,,actions:offsite_conversion.fb_pixel_purchase,2518,1.21,3049,4704,,26,0.85,42,1542.80,180.92,20,,,,,,7日間のクリックまたは1日間のビュー
2026-08-22,2026-08-22,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-22,,actions:offsite_conversion.fb_pixel_purchase,3420,1.06,3632,5055,,32,0.88,53,1391.80,157.97,25,,,,,,7日間のクリックまたは1日間のビュー
2026-08-23,2026-08-23,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-23,1,actions:offsite_conversion.fb_pixel_purchase,2523,1.09,2756,4338,4338.00,32,1.16,52,1574.02,135.56,28,1,7960,1.83,,,7日間のクリックまたは1日間のビュー
2026-08-24,2026-08-24,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-24,,actions:offsite_conversion.fb_pixel_purchase,1946,1.20,2344,3680,,24,1.02,44,1569.97,153.33,20,,,,,,7日間のクリックまたは1日間のビュー
2026-08-25,2026-08-25,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-25,1,actions:offsite_conversion.fb_pixel_purchase,2648,1.17,3090,4562,4562.00,29,0.94,50,1476.38,157.31,22,1,7926,1.74,,,7日間のクリックまたは1日間のビュー
2026-08-26,2026-08-26,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-26,1,actions:offsite_conversion.fb_pixel_purchase,2374,1.17,2783,4178,4178.00,29,1.04,52,1501.26,144.07,23,1,6097,1.46,,,7日間のクリックまたは1日間のビュー
2026-08-27,2026-08-27,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-27,1,actions:offsite_conversion.fb_pixel_purchase,2373,1.20,2856,4351,4351.00,31,1.09,55,1523.46,140.35,24,1,7284,1.67,,,7日間のクリックまたは1日間のビュー
2026-08-28,2026-08-28,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-28,,actions:offsite_conversion.fb_pixel_purchase,2858,1.09,3109,4681,,32,1.03,60,1505.63,146.28,26,,,,,,7日間のクリックまたは1日間のビュー
2026-08-29,2026-08-29,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-29,1,actions:offsite_conversion.fb_pixel_purchase,2501,1.24,3113,4483,4483.00,35,1.12,69,1440.09,128.09,29,1,7236,1.61,,,7日間のクリックまたは1日間のビュー
2026-08-30,2026-08-30,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-30,,actions:offsite_conversion.fb_pixel_purchase,2216,1.20,2658,3785,,27,1.02,47,1424.00,140.19,23,,,,,,7日間のクリックまたは1日間のビュー
2026-08-31,2026-08-31,新規獲得_コンバージョン,ブロード_女性25-54,新規_静止画_レビュー訴求,2026-08-31,,actions:offsite_conversion.fb_pixel_purchase,2310,1.21,2792,4161,,26,0.93,47,1490.33,160.04,19,,,,,,7日間のクリックまたは1日間のビュー
2026-08-01,2026-08-01,リターゲティング,カート放棄_7日,RT_クーポン訴求,2026-08-01,1,actions:offsite_conversion.fb_pixel_purchase,554,1.20,667,1499,1499.00,13,1.95,22,2247.38,115.31,11,1,8741,5.83,,,7日間のクリックまたは1日間のビュー
2026-08-02,2026-08-02,リターゲティング,カート放棄_7日,RT_クーポン訴求,2026-08-02,2,actions:offsite_conversion.fb_pixel_purchase,786,1.15,903,1997,998.50,14,1.55,26,2211.52,142.64,11,2,15324,7.67,,,7日間のクリックまたは1日間のビュー
2026-08-03,2026-08-03,リターゲティング,カート放棄_7日,RT_クーポン訴求,2026-08-03,1,actions:offsite_conversion.fb_pixel_purchase,741,1.06,783,1717,1717.00,11,1.40,21,2192.85,156.09,8,1,8544,4.98,,,7日間のクリックまたは1日間のビュー
2026-08-04,2026-08-04,リターゲティング,カート放棄_7日,RT_クーポン訴求,2026-08-04,1,actions:offsite_conversion.fb_pixel_purchase,740,1.10,816,1697,1697.00,16,1.96,30,2079.66,106.06,14,1,6930,4.08,,,7日間のクリックまたは1日間のビュー
2026-08-05,2026-08-05,リターゲティング,カート放棄_7日,RT_クーポン訴求,2026-08-05,,actions:offsite_conversion.fb_pixel_purchase,665,1.11,741,1718,,10,1.35,18,2318.49,171.80,8,,,,,,7日間のクリックまたは1日間のビュー
